haltestelle,haltestellen,j17_1,j17_2,j18_1,j18_2
"Zürich, Hardturm","Zürich, Hardturm",NA,NA,4.887470848296682,48.497854077253216
"Zürich, Bernoulli-Häuser","Zürich, Bernoulli-Häuser",NA,NA,4.9790161875124905,25.82987848463188
"Zürich, Fischerweg","Zürich, Fischerweg",NA,NA,4.885779554540263,26.70529139791084
"Zürich, Förrlibuckstrasse","Zürich, Förrlibuckstrasse",NA,NA,4.767886712727688,26.1709718852576
"Zürich, Escher-Wyss-Platz","Zürich, Escher-Wyss-Platz",NA,NA,6.152724417398132,23.580316742081447
"Zürich, Schiffbau","Zürich, Schiffbau",NA,NA,6.521800961347024,23.140425531914893
"Zürich, Bahnhof Hardbrücke","Zürich, Bahnhof Hardbrücke",NA,NA,6.695439831904141,21.51151236408029
"Zürich, Hardplatz","Zürich, Hardplatz",1.2114371708051166,NA,6.491651480076836,22.27926369231642
"Zürich, Güterbahnhof","Zürich, Güterbahnhof",1.041457538646858,14.829145728643217,7.517321876474532,18.82210528916228
"Zürich, Bäckeranlage","Zürich, Bäckeranlage",1.2648697485318476,12.906787103249279,10.48607318405243,16.367713004484305
"Zürich, Helvetiaplatz","Zürich, Helvetiaplatz",1.4753111200321156,10.556419647784859,11.337051478209368,14.588362812238262
"Zürich, Stauffacher","Zürich, Stauffacher",1.7906982488206091,10.41877952853291,9.772895688941198,14.43521486035712
"Zürich, Bahnhof Selnau","Zürich, Bahnhof Selnau",2.691744836024278,8.094284542449758,11.526679841897232,14.74121310989174
"Zürich, Wollishofen","Zürich, Wollishofen",1.8292682926829267,4.206309464196294,1.13314447592068,11.900532859680284
"Zürich, Stockerstrasse","Zürich, Stockerstrasse",2.7682596934174932,7.931806362629164,11.558338302524348,15.190976544992779
"Zürich, Paradeplatz","Zürich, Paradeplatz",2.7520043239347807,6.927588540491766,10.949499938263983,14.383307343877627
"Zürich, Börsenstrasse","Zürich, Börsenstrasse",2.8474163585535215,5.943606734735276,10.616497543391848,13.616463429716294
"Zürich, Bürkliplatz","Zürich, Bürkliplatz",5.349388961009893,5.920007162201482,10.779686148523416,13.746257207196061
"Zürich, Bellevue","Zürich, Bellevue",8.205760902407091,3.258463148573039,12.461059190031152,14.083431836091412
"Zürich, Bahnhof Stadelhofen","Zürich, Bahnhof Stadelhofen",20.33195020746888,9.689922480620156,12.854489785674847,13.968919585594474
"Zürich, Kunsthaus","Zürich, Kunsthaus",9.85109400324149,2.634976080188321,10.526315789473683,43.61702127659575
"Zürich, Hottingerplatz","Zürich, Hottingerplatz",9.769779424829302,1.6137626550962931,3.944315545243619,NA
"Zürich, Kreuzplatz","Zürich, Kreuzplatz",9.523809523809524,5.0,14.4971231878596,14.021666707795575
"Zürich, Englischviertelstrasse","Zürich, Englischviertelstrasse",9.523809523809524,5.0,16.13981304653734,14.128476592384196
"Zürich, Römerhof","Zürich, Römerhof",9.208757198305385,1.257510838425069,16.780957079427726,14.090516709828584
"Zürich, Hölderlinstrasse","Zürich, Hölderlinstrasse",8.119896535984177,1.6555955580345825,18.85419749432771,12.414609484820833
"Zürich, Klusplatz","Zürich, Klusplatz",NA,1.279971612510772,NA,13.345642540620384
